"Region";"Type";"Date";"Variable";"Value"
"03 Oslo";"01 Nye eneboliger";2005;"Kvadratmeterpris (kr)";23402
"03 Oslo";"01 Nye eneboliger";2005;"Endring i prosent fra foregående år";12,3
"03 Oslo";"01 Nye eneboliger";2005;"Nypris i prosent av bruktpris og bruktpris i prosent av nypris";91,8
"03 Oslo";"01 Nye eneboliger";2006;"Kvadratmeterpris (kr)";24861
"03 Oslo";"01 Nye eneboliger";2006;"Endring i prosent fra foregående år";6,2
"03 Oslo";"01 Nye eneboliger";2006;"Nypris i prosent av bruktpris og bruktpris i prosent av nypris";88,5
"03 Oslo";"01 Nye eneboliger";2007;"Kvadratmeterpris (kr)";27468
"03 Oslo";"01 Nye eneboliger";2007;"Endring i prosent fra foregående år";10,5
"03 Oslo";"01 Nye eneboliger";2007;"Nypris i prosent av bruktpris og bruktpris i prosent av nypris";88,5
"03 Oslo";"01 Nye eneboliger";2008;"Kvadratmeterpris (kr)";
"03 Oslo";"01 Nye eneboliger";2008;"Endring i prosent fra foregående år";
"03 Oslo";"01 Nye eneboliger";2008;"Nypris i prosent av bruktpris og bruktpris i prosent av nypris";
"03 Oslo";"01 Nye eneboliger";2009;"Kvadratmeterpris (kr)";39987
"03 Oslo";"01 Nye eneboliger";2009;"Endring i prosent fra foregående år";
"03 Oslo";"01 Nye eneboliger";2009;"Nypris i prosent av bruktpris og bruktpris i prosent av nypris";122,7
"03 Oslo";"01 Nye eneboliger";2010;"Kvadratmeterpris (kr)";41969
"03 Oslo";"01 Nye eneboliger";2010;"Endring i prosent fra foregående år";5
"03 Oslo";"01 Nye eneboliger";2010;"Nypris i prosent av bruktpris og bruktpris i prosent av nypris";119,6
"03 Oslo";"01 Nye eneboliger";2011;"Kvadratmeterpris (kr)";42799
"03 Oslo";"01 Nye eneboliger";2011;"Endring i prosent fra foregående år";2
"03 Oslo";"01 Nye eneboliger";2011;"Nypris i prosent av bruktpris og bruktpris i prosent av nypris";111,2
"03 Oslo";"01 Nye eneboliger";2012;"Kvadratmeterpris (kr)";48212
"03 Oslo";"01 Nye eneboliger";2012;"Endring i prosent fra foregående år";12,6
"03 Oslo";"01 Nye eneboliger";2012;"Nypris i prosent av bruktpris og bruktpris i prosent av nypris";117,5
"03 Oslo";"01 Nye eneboliger";2013;"Kvadratmeterpris (kr)";53680
"03 Oslo";"01 Nye eneboliger";2013;"Endring i prosent fra foregående år";11,3
"03 Oslo";"01 Nye eneboliger";2013;"Nypris i prosent av bruktpris og bruktpris i prosent av nypris";128
"03 Oslo";"01 Nye eneboliger";2014;"Kvadratmeterpris (kr)";52765
"03 Oslo";"01 Nye eneboliger";2014;"Endring i prosent fra foregående år";-1,7
"03 Oslo";"01 Nye eneboliger";2014;"Nypris i prosent av bruktpris og bruktpris i prosent av nypris";123,8
"03 Oslo";"01 Nye eneboliger";2015;"Kvadratmeterpris (kr)";54567
"03 Oslo";"01 Nye eneboliger";2015;"Endring i prosent fra foregående år";3,4
"03 Oslo";"01 Nye eneboliger";2015;"Nypris i prosent av bruktpris og bruktpris i prosent av nypris";116,7
"03 Oslo";"02 Brukte eneboliger";1999;"Kvadratmeterpris (kr)";13372
"03 Oslo";"02 Brukte eneboliger";1999;"Endring i prosent fra foregående år";0
"03 Oslo";"02 Brukte eneboliger";1999;"Nypris i prosent av bruktpris og bruktpris i prosent av nypris";112,3
"03 Oslo";"02 Brukte eneboliger";2000;"Kvadratmeterpris (kr)";15645
"03 Oslo";"02 Brukte eneboliger";2000;"Endring i prosent fra foregående år";17
"03 Oslo";"02 Brukte eneboliger";2000;"Nypris i prosent av bruktpris og bruktpris i prosent av nypris";107,2
"03 Oslo";"02 Brukte eneboliger";2001;"Kvadratmeterpris (kr)";18141
"03 Oslo";"02 Brukte eneboliger";2001;"Endring i prosent fra foregående år";0
"03 Oslo";"02 Brukte eneboliger";2001;"Nypris i prosent av bruktpris og bruktpris i prosent av nypris";114,8
"03 Oslo";"02 Brukte eneboliger";2002;"Kvadratmeterpris (kr)";20690
"03 Oslo";"02 Brukte eneboliger";2002;"Endring i prosent fra foregående år";14,1
"03 Oslo";"02 Brukte eneboliger";2002;"Nypris i prosent av bruktpris og bruktpris i prosent av nypris";107,1
"03 Oslo";"02 Brukte eneboliger";2003;"Kvadratmeterpris (kr)";20217
"03 Oslo";"02 Brukte eneboliger";2003;"Endring i prosent fra foregående år";-2,3
"03 Oslo";"02 Brukte eneboliger";2003;"Nypris i prosent av bruktpris og bruktpris i prosent av nypris";108,5
"03 Oslo";"02 Brukte eneboliger";2004;"Kvadratmeterpris (kr)";21919
"03 Oslo";"02 Brukte eneboliger";2004;"Endring i prosent fra foregående år";8,4
"03 Oslo";"02 Brukte eneboliger";2004;"Nypris i prosent av bruktpris og bruktpris i prosent av nypris";105,2
